date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-06-05,102,102.330002,101.529999,102.190002,96.862373,23514400,93.9,-0.13,65.52,1.19,1.7,0,3.208,2.04,102.489998,1
2018-06-06,102.480003,102.599998,101.900002,102.489998,97.146706,21122900,93.66,-0.26,64.73,-1.21,1.7,0,3.272,2,100.879997,0
2018-06-07,102.650002,102.690002,100.379997,100.879997,95.620659,28232200,93.4,-0.28,65.95,1.88,1.7,0,3.2845,0.38,101.629997,1
2018-06-08,101.089996,101.949997,100.540001,101.629997,96.331551,22165100,93.55,0.16,65.74,-0.32,1.7,0,3.31,0.78,101.050003,0
2018-06-11,101.010002,101.589996,100.669998,101.050003,95.781799,23490900,93.58,0.03,66.1,0.55,1.7,0,3.2665,-1.31,101.309998,1
2018-06-12,101.099998,101.449997,100.75,101.309998,96.028244,18325200,93.8,0.24,66.36,0.39,1.7,0,3.2595,-0.21,100.849998,0
2018-06-13,101.720001,102.010002,100.559998,100.849998,95.592239,29492900,93.71,-0.1,66.64,0.42,1.7,0,3.2635,0.12,101.419998,1
2018-06-14,101.650002,102.029999,101,101.419998,96.1325,25691800,94.77,1.13,66.89,0.38,1.9,11.76,3.232,-0.97,100.129997,0
2018-06-15,101.510002,101.529999,100.07,100.129997,94.909744,65738600,94.79,0.02,65.06,-2.74,1.9,0,3.1555,-2.37,100.860001,1
2018-06-18,100.010002,101.110001,99.419998,100.860001,95.601685,23586000,94.8,0.01,65.85,1.21,1.9,0,3.1175,-1.2,100.860001,1
2018-06-19,99.650002,101,99.5,100.860001,95.601685,28653100,95.08,0.3,65.07,-1.18,1.91,0.53,3.058,-1.91,101.870003,1
2018-06-20,101.370003,102.519997,101.120003,101.870003,96.559036,26180800,95.06,-0.02,66.22,1.77,1.92,0.52,3.051,-0.23,101.139999,0
2018-06-21,102.080002,102.459999,100.879997,101.139999,95.867104,23198200,94.74,-0.34,65.54,-1.03,1.92,0,3.0325,-0.61,100.410004,0
2018-06-22,100.410004,100.769997,99.629997,100.410004,95.175163,38923100,94.52,-0.23,68.58,4.64,1.92,0,3.038,0.18,98.389999,0
2018-06-25,100,100.110001,97.300003,98.389999,93.260468,35433300,94.28,-0.25,68.08,-0.73,1.92,0,2.9985,-1.3,99.080002,1
